"AlbumId";"Title";"ArtistId";"Column1"
128;Coda;22;"Led Zeppelin"
129;Houses Of The Holy;22;"Led Zeppelin"
130;In Through The Out Door;22;"Led Zeppelin"
131;IV;22;"Led Zeppelin"
132;Led Zeppelin I;22;"Led Zeppelin"
133;Led Zeppelin II;22;"Led Zeppelin"
134;Led Zeppelin III;22;"Led Zeppelin"
135;Physical Graffiti [Disc 2];22;"Led Zeppelin"
136;Presence;22;"Led Zeppelin"
137;The Song Remains The Same (Disc 1);22;"Led Zeppelin"
138;The Song Remains The Same (Disc 2);22;"Led Zeppelin"
139;A TempestadeTempestade Ou O Livro Dos Dias;99;"Legião Urbana"
140;Mais Do Mesmo;99;"Legião Urbana"
141;Greatest Hits;100;"Lenny Kravitz"
142;Lulu Santos - RCA 100 Anos De Música - Álbum 01;101;"Lulu Santos"
143;Lulu Santos - RCA 100 Anos De Música - Álbum 02;101;"Lulu Santos"
144;Misplaced Childhood;102;"Marillion"
145;Barulhinho Bom;103;"Marisa Monte"
146;Seek And Shall Find: More Of The Best (1963-1981);104;"Marvin Gaye"
147;The Best Of Men At Work;105;"Men At Work"
148;Black Album;50;"Metallica"
149;Garage Inc. (Disc 2);50;"Metallica"
150;Kill 'Em All;50;"Metallica"
151;Load;50;"Metallica"
152;Master Of Puppets;50;"Metallica"
153;ReLoad;50;"Metallica"
154;Ride The Lightning;50;"Metallica"
155;St. Anger;50;"Metallica"
156;...And Justice For All;50;"Metallica"
157;Miles Ahead;68;"Miles Davis"
158;Milton Nascimento Ao Vivo;42;"Milton Nascimento"
159;Minas;42;"Milton Nascimento"
160;Ace Of Spades;106;"Motörhead"
161;Demorou...;108;"Mônica Marianno"
162;Motley Crue Greatest Hits;109;"Mötley Crüe"
163;From The Muddy Banks Of The Wishkah [Live];110;"Nirvana"
164;Nevermind;110;"Nirvana"
165;Compositores;111;"O Terço"
166;Olodum;112;"Olodum"
167;Acústico MTV;113;"Os Paralamas Do Sucesso"
168;Arquivo II;113;"Os Paralamas Do Sucesso"
169;Arquivo Os Paralamas Do Sucesso;113;"Os Paralamas Do Sucesso"
170;Bark at the Moon (Remastered);114;"Ozzy Osbourne"
171;Blizzard of Ozz;114;"Ozzy Osbourne"
172;Diary of a Madman (Remastered);114;"Ozzy Osbourne"
173;No More Tears (Remastered);114;"Ozzy Osbourne"
174;Tribute;114;"Ozzy Osbourne"
175;Walking Into Clarksdale;115;"Page & Plant"
176;Original Soundtracks 1;116;"Passengers"
177;The Beast Live;117;"Paul D'Ianno"
178;Live On Two Legs [Live];118;"Pearl Jam"
179;Pearl Jam;118;"Pearl Jam"
180;Riot Act;118;"Pearl Jam"
181;Ten;118;"Pearl Jam"
182;Vs.;118;"Pearl Jam"
183;Dark Side Of The Moon;120;"Pink Floyd"
184;Os Cães Ladram Mas A Caravana Não Pára;121;"Planet Hemp"
185;Greatest Hits I;51;"Queen"
186;News Of The World;51;"Queen"
187;Out Of Time;122;"R.E.M. Feat. Kate Pearson"
188;Green;124;"R.E.M."
189;New Adventures In Hi-Fi;124;"R.E.M."
190;The Best Of R.E.M.: The IRS Years;124;"R.E.M."
191;Cesta Básica;125;"Raimundos"
192;Raul Seixas;126;"Raul Seixas"
193;Blood Sugar Sex Magik;127;"Red Hot Chili Peppers"
194;By The Way;127;"Red Hot Chili Peppers"
195;Californication;127;"Red Hot Chili Peppers"
196;Retrospective I (1974-1980);128;"Rush"
197;Santana - As Years Go By;59;"Santana"
198;Santana Live;59;"Santana"
199;Maquinarama;130;"Skank"
200;O Samba Poconé;130;"Skank"
201;Judas 0: B-Sides and Rarities;131;"Smashing Pumpkins"
202;Rotten Apples: Greatest Hits;131;"Smashing Pumpkins"
203;A-Sides;132;"Soundgarden"
204;Morning Dance;53;"Spyro Gyra"
205;In Step;133;"Stevie Ray Vaughan & Double Trouble"
206;Core;134;"Stone Temple Pilots"
207;Mezmerize;135;"System Of A Down"
208;[1997] Black Light Syndrome;136;"Terry Bozzio, Tony Levin & Steve Stevens"
209;Live [Disc 1];137;"The Black Crowes"
210;Live [Disc 2];137;"The Black Crowes"
211;The Singles;138;"The Clash"
212;Beyond Good And Evil;139;"The Cult"
213;Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK];139;"The Cult"
214;The Doors;140;"The Doors"
215;The Police Greatest Hits;141;"The Police"
216;Hot Rocks, 1964-1971 (Disc 1);142;"The Rolling Stones"
217;No Security;142;"The Rolling Stones"
218;Voodoo Lounge;142;"The Rolling Stones"
219;Tangents;143;"The Tea Party"
220;Transmission;143;"The Tea Party"
221;My Generation - The Very Best Of The Who;144;"The Who"
222;Serie Sem Limite (Disc 1);145;"Tim Maia"
223;Serie Sem Limite (Disc 2);145;"Tim Maia"
224;Acústico;146;"Titãs"
225;Volume Dois;146;"Titãs"
226;Battlestar Galactica: The Story So Far;147;"Battlestar Galactica"
227;Battlestar Galactica, Season 3;147;"Battlestar Galactica"
228;Heroes, Season 1;148;"Heroes"
229;Lost, Season 3;149;"Lost"
230;Lost, Season 1;149;"Lost"
231;Lost, Season 2;149;"Lost"
232;Achtung Baby;150;"U2"
233;All That You Can't Leave Behind;150;"U2"
234;B-Sides 1980-1990;150;"U2"
235;How To Dismantle An Atomic Bomb;150;"U2"
236;Pop;150;"U2"
237;Rattle And Hum;150;"U2"
238;The Best Of 1980-1990;150;"U2"
239;War;150;"U2"
240;Zooropa;150;"U2"
241;UB40 The Best Of - Volume Two [UK];151;"UB40"
242;Diver Down;152;"Van Halen"
243;The Best Of Van Halen, Vol. I;152;"Van Halen"
244;Van Halen;152;"Van Halen"
245;Van Halen III;152;"Van Halen"
246;Contraband;153;"Velvet Revolver"
247;Vinicius De Moraes;72;"Vinícius De Moraes"
248;Ao Vivo [IMPORT];155;"Zeca Pagodinho"
249;The Office, Season 1;156;"The Office"
250;The Office, Season 2;156;"The Office"
251;The Office, Season 3;156;"The Office"
252;Un-Led-Ed;157;"Dread Zeppelin"
253;Battlestar Galactica (Classic), Season 1;158;"Battlestar Galactica (Classic)"
254;Aquaman;159;"Aquaman"
255;Instant Karma: The Amnesty International Campaign to Save Darfur;150;"U2"
256;Speak of the Devil;114;"Ozzy Osbourne"
257;"20th Century Masters - The Millennium Collection: The Best of Scorpions";179;"Scorpions"
258;House of Pain;180;"House Of Pain"
259;Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro;36;"O Rappa"
260;Cake: B-Sides and Rarities;196;"Cake"
261;LOST, Season 4;149;"Lost"
262;Quiet Songs;197;"Aisha Duo"
263;Muso Ko;198;"Habib Koité and Bamada"
264;Realize;199;"Karsh Kale"
265;Every Kind of Light;200;"The Posies"
266;Duos II;201;"Luciana Souza/Romero Lubambo"
267;Worlds;202;"Aaron Goldberg"
